codigo,descricao,gtin,preco,estoque
525692,BISC DELICIAS DA VOVO 300G ROSCA BCA,7898129610100,14.9,6000
525935,BISC DELICIAS DA VOVO 300G AMENDOIM,7898129610261,14.9,18000
526301,BISC CLUB SOCIAL 144G INTEGRAL 526301,7622210700254,6.49,299000
526504,COOKIES SANTA EDWIGES LT 150G,7896064201148,17.9,0
526941,BISC CLUB SOCIAL 144G ORIGNAL,7622300990701,6.49,1
526946,BISC BAUDUCCO RECHEADINHO 112G,7891962050065,4.99,56000
526948,WAFER BAUDUCCO 117G MAXI,7891962048109,4.49,202000
527101,BISC BAUDUCCO CEREALE 130G,7891962041063,5.49,41000
527701,WAFER BAUDUCCO 140G CHOCOLATE 527701,7891962036984,4.49,148000
527702,BISC BAUDUCCO CEREALE 170G,7891962045160,5.49,89000
527761,BISC BELVITA 75G,7622210661814,7.49,182000
528253,BISC BAUDUCCO 170G MAIZENA,7891962032450,5.99,33000
528601,COOKIES NESTLE 60G,7891000109298,3.99,1000
528750,BISC RECH LOWCUCAR 120G CHOCOLATE,7896292000100,8.99,17000
528985,COOKIES VITAO ZERO 80G MACA CHOCO,7896063281271,10.99,4000
528986,COOKIES VITAO ZERO 80G MOR CHOCO,7896063281172,10.99,6000
529033,BISC ZEZE MIGNON 60G GALETO,7896200052641,2.49,79000
529034,BISC ZEZE MIGNON 60G CHURRAS,7896200052610,2.49,51000
529035,BISC ZEZE MIGNON 60G INT,7896200052818,2.49,100000
529041,BISC ZEZE 200G RAMINHO,7896200052788,4.99,32000
529058,COOKIES LACTA 80G LAKA,7622210754714,8.49,6000
529059,COOKIES LACTA 80G AO LEITE,7622210754813,8.49,22000
529112,PAO DE MEL ZEZE 150G,7896200052771,9.49,31000
529253,BISC HEPP 200G PALITO QUEIJO,7898283150153,12.9,9000
529255,BISC HEPP 200G MIGNON,7898283150054,13.9,13000
529257,BISC HEPP 300G ROSCA MAIZENA 529257,7898283150092,13.9,6000
529262,BISC HEPP 300G ROSCA MILHO 529262,7898283150191,13.9,51000
529263,BISC HEPP 200G BROA POLVILHO 529263,7898283150849,13.9,7000
530447,BISC RECH ISABELA TOONS 130G CHOC,7896022085209,1.99,24000
530922,BISC GERMANI 360G C CRACKER INTEG,7898045273076,5.99,0
531283,COOKIES BAUDUCCO 100G MAXXI CHCO,7891962054124,5.99,20000
531350,BISC KLAIN 260G AMEND CHOCOLATE,7898912106872,9.49,45000
531489,COOKIES BAUDUCCO 100G ORIGINAL,7891962054100,5.99,47000
1 MERCADO FROZZA E FERNANDES LTDA - MT,1 MERCADO FROZZA E FERNANDES LTDA - MT,1MERCADOFROZZAEFERNANDESLTDA-MT,1.0,0
TABELA DA LISTA DE PREÇO 1 / 1 / 1,1 MERCADO FROZZA E FERNANDES LTDA - MT,1MERCADOFROZZAEFERNANDESLTDA-MT,1.0,0
Estado:  RIO GRANDE DO SUL  Valida até: 11/01/2026,1 MERCADO FROZZA E FERNANDES LTDA - MT,1MERCADOFROZZAEFERNANDESLTDA-MT,1.0,0
531534,WAFER PASSION TRIUNFO 80G,7896058257236,3.69,234000
531960,BISC RECH GAROTO 130G,7891000255285,3.99,0
531993,BISC RECH OREO 35G,7622210933454,3.99,74000
532095,LATA NATALINA COOKIES 150G,7896064204507,17.99,0
532232,BISC MOSMANN 400G MARIA TRAD,7896324274608,10.9,0
532835,COOKIES LEVIT 150G CACAU GOTA CHOCO,7898045271003,3.99,0
532837,COOKIES LEVIT 150G AVEIA/MEL,7898045271027,3.99,0
532839,BISC LEVIT 145G FRUTAS CEREAIS,7898045271959,3.99,0
532956,BISC COOKIE PARATI 60G BAU/CHOC,7896011107851,2.89,358000
533240,CHOCO BISCUIT BAUDUCO 80G,7891962056500,8.99,355000
533241,TORRADA BAUDUCCO 142G MULTIGRAOS,7891962053202,7.49,68000
533247,TORRADA BAUDUCCO 142G TRAD,7891962053189,6.99,15000
533249,TORRADA BAUDUCCO 142G INTEGRAL,7891962053196,7.49,85000
533355,BISC RECH PASSATEMPO 150G S/ RECHEIO,7891000051436,4.29,1
533358,BISC SANTA EDWIGES LT 300G,7896064206730,35.9,0
533386,COOKIE JASMINE GLUTEN 120G CAST PARA,7896283001727,12.9,0
533395,COOKIES JASMINE INT 120G CAPPUCINO,7896283001734,12.9,4000
533396,COOKIE JASMINE ZERO 120G AMENDOAS,7896283001758,12.9,0
533422,BISC PARATI 370G COQUETEL,7896011107844,7.99,42000
533704,BISC RECH FOMITOS 100G 533704,7898209650637,1.59,374000
533936,SNACK TEENS MARILAN 80G BCO,7896003737400,5.49,48000
534004,BISC RECH PASSATEMPO 150G CHOCO MIX,7891000284032,3.69,99000
534179,COOKIES NESTLE 60G NEGRESCO,7891000247624,3.99,34000
534186,SNACK TEENS MARILAN 80G CHOCO,7896003737394,5.49,95000
534187,SNACK TEENS MARILAN 80G BAUNY,7896003737417,5.49,87000
534364,CHOCOLATE TWIX 40G,7896423405194,4.99,415000
534409,BISC RECH TRAKINAS 126G SABORES,762210592750,2.99,6
534583,ALFAJOR DOCE MAGIA 60G,7898343544014,4.99,89000
534984,BISC TRICKS 110G TRA,7898045279399,2.69,65000
535119,BISC DE ARROZ NATURALLIFE 80G GRANDE,7896256065817,8.99,0
535126,BISC DE ARROZ NATURALLIFE 80G ORIGINAL,7896256065602,8.99,0
535157,TORRADA ISABELA 142G LIGHT,7896022086152,5.99,22000
535158,TORRADA ISABELA 142G INTEGRAL,7896022086145,5.99,16000
535159,TORRADA ISABELA 142G MULTIGRAOS,7896022086169,5.99,21000
535290,WAFER ROLINHO MINUETO 50G 535290,7896011105673,3.69,78000
535291,WAFER ROLINHO MINUETO 50G MOR,7896011104959,3.69,109000
535292,WAFER ROLINHO MINUETO 50G CHOC,7896011104157,3.69,155000
535293,WAFER ROLINHO MINUETO 50G BRIGADE 535293,7896011106083,3.69,186000
535295,BISC HOT CRACKER 150G QUEIJO,7896011105499,5.99,85000
535296,BISC HOT CRACKER 150G SABORES 535296,7896011105536,5.99,25000
535297,BISC HOT CRACKER 150G PRESUNTO,7896011105505,5.99,30000
535409,BISC LOWCUCAR 115G LEITE,7896292002791,9.9,1000
535487,BISC NESFIT DELICE 140G CACAU/AVELA,7891000289709,4.99,68000
535670,WAFER TORTUGUITA 85G CHOCO,7896058258103,3.49,0
535948,COOKIE JASMINE ZERO 150G DAMASCO C/ CHOCO,7896283001710,12.9,0
535949,BISC RECH LOWCUCAR 120G LIMAO,7896292000148,8.99,1000
535964,BISC ARROZ RAMPINELLI 150G 535964,7896546160017,6.99,22000
536190,BISC PETIT SABLE INT 80G CREAM CHESS/CEB,7896415600507,6.99,5000
536191,BISC PETIT SABLE 120G BANANA CAN,7896415600477,6.99,5000
536192,BISC PETITG 80G SABLE INT PROV/TOQUE OLIVA,7896415600514,6.99,5000
536196,BISC PETIT SABLE 120G DOCE DE LEITE,7896415600323,6.99,6000
536197,BISC PETIT SABLE 120G GOIABA,7896415600316,6.99,8000
